text,label,source,text_length,cleaned_text,processed_text,word_count,char_count,avg_word_length,sentence_count,exclamation_count,question_count,uppercase_ratio,stopword_count
Scientists at Harvard University discovered a new species of amphibian in the Amazon rainforest. The research was published in the journal Nature after five years of study.,1,Harvard Research,172,scientists at harvard university discovered a new species of amphibian in the amazon rainforest the research was published in the journal nature after five years of study,scientists harvard university discovered new species amphibian amazon rainforest research published journal nature five years study,27,170,5.333333333333333,1,0,0,0.0,11
"The global economy shows signs of recovery as stock markets in the US and Europe reached record highs this quarter, according to financial analysts.",1,Financial Times,148,the global economy shows signs of recovery as stock markets in the us and europe reached record highs this quarter according to financial analysts,global economy shows signs recovery stock markets europe reached record highs quarter according financial analysts,24,146,5.125,1,0,0,0.0,8
"NASA successfully launched the Landsat 9 satellite, designed to monitor climate change effects and provide crucial environmental data for researchers worldwide.",1,NASA Official,160,nasa successfully launched the landsat satellite designed to monitor climate change effects and provide crucial environmental data for researchers worldwide,nasa successfully launched landsat satellite designed monitor climate change effects provide crucial environmental data researchers worldwide,20,156,6.85,1,0,0,0.0,4
"Medical researchers at Oxford University have developed a new vaccine that shows 95% effectiveness in phase 3 clinical trials involving 30,000 participants.",1,Oxford Study,156,medical researchers at oxford university have developed a new vaccine that shows effectiveness in phase clinical trials involving participants,medical researchers oxford university developed new vaccine shows effectiveness phase clinical trials involving participants,19,142,6.526315789473684,1,0,0,0.0,5
"Renewable energy sources now account for 38% of electricity production in Germany, marking a significant milestone in the country's green energy transition.",1,Energy Report,156,renewable energy sources now account for of electricity production in germany marking a significant milestone in the countrys green energy transition,renewable energy sources account electricity production germany marking significant milestone countrys green energy transition,21,149,6.142857142857143,1,0,0,0.0,7
"The Education Ministry announced new digital learning initiatives to improve remote education access for students in rural areas, with a budget of $500 million.",1,Education Ministry,160,the education ministry announced new digital learning initiatives to improve remote education access for students in rural areas with a budget of million,education ministry announced new digital learning initiatives improve remote education access students rural areas budget million,23,153,5.695652173913044,1,0,0,0.0,7
"Archaeologists from Cambridge University uncovered an ancient city dating back to 1000 BCE in the Mediterranean region, revealing new insights into early civilization.",1,Cambridge Archaeology,167,archaeologists from cambridge university uncovered an ancient city dating back to bce in the mediterranean region revealing new insights into early civilization,archaeologists cambridge university uncovered ancient city dating back bce mediterranean region revealing new insights early civilization,22,160,6.318181818181818,1,0,0,0.0,6
A new study published in the British Medical Journal shows that regular exercise reduces the risk of chronic diseases by up to 40% in adults over 50.,1,Medical Journal,149,a new study published in the british medical journal shows that regular exercise reduces the risk of chronic diseases by up to in adults over,new study published british medical journal shows regular exercise reduces risk chronic diseases adults,25,141,4.68,1,0,0,0.0,11
"The World Health Organization reported a significant decline in malaria cases across Africa, attributing the success to improved mosquito net distribution.",1,WHO Report,155,the world health organization reported a significant decline in malaria cases across africa attributing the success to improved mosquito net distribution,world health organization reported significant decline malaria cases across africa attributing success improved mosquito net distribution,21,153,6.333333333333333,1,0,0,0.0,5
"Tech companies announced a joint initiative to develop ethical AI guidelines, focusing on transparency and fairness in algorithmic decision-making.",1,Tech Consortium,147,tech companies announced a joint initiative to develop ethical ai guidelines focusing on transparency and fairness in algorithmic decisionmaking,tech companies announced joint initiative develop ethical guidelines focusing transparency fairness algorithmic decisionmaking,19,144,6.631578947368421,1,0,0,0.0,5
"Climate scientists confirmed that 2023 was the warmest year on record, with global temperatures 1.2Â°C above pre-industrial levels.",1,Climate Science,130,climate scientists confirmed that was the warmest year on record with global temperatures c above preindustrial levels,climate scientists confirmed warmest year record global temperatures preindustrial levels,17,118,6.0,1,0,0,0.0,6
"The Federal Reserve maintained interest rates at current levels, citing stable economic growth and controlled inflation metrics.",1,Federal Reserve,128,the federal reserve maintained interest rates at current levels citing stable economic growth and controlled inflation metrics,federal reserve maintained interest rates current levels citing stable economic growth controlled inflation metrics,17,126,6.470588235294118,1,0,0,0.0,3
"Researchers at MIT developed a new battery technology that charges electric vehicles in 10 minutes, potentially revolutionizing transportation.",1,MIT Research,143,researchers at mit developed a new battery technology that charges electric vehicles in minutes potentially revolutionizing transportation,researchers mit developed new battery technology charges electric vehicles minutes potentially revolutionizing transportation,17,138,7.176470588235294,1,0,0,0.0,4
A comprehensive study of ocean currents revealed new patterns that will improve climate models and weather prediction accuracy.,1,Oceanography Study,127,a comprehensive study of ocean currents revealed new patterns that will improve climate models and weather prediction accuracy,comprehensive study ocean currents revealed new patterns improve climate models weather prediction accuracy,18,126,6.055555555555555,1,0,0,0.0,5
Agricultural scientists developed drought-resistant crop varieties that could help address food security challenges in arid regions.,1,Agriculture Dept,132,agricultural scientists developed droughtresistant crop varieties that could help address food security challenges in arid regions,agricultural scientists developed droughtresistant crop varieties could help address food security challenges arid regions,16,130,7.1875,1,0,0,0.0,2
"The United Nations reported progress on Sustainable Development Goals, with 60% of targets showing measurable improvement since 2015.",1,UN Report,133,the united nations reported progress on sustainable development goals with of targets showing measurable improvement since,united nations reported progress sustainable development goals targets showing measurable improvement since,16,122,6.6875,1,0,0,0.0,4
BREAKING: Aliens have been CONFIRMED in Area 51 according to TOP SECRET government documents leaked by an insider! SHOCKING footage reveals EVERYTHING!,0,Harvard Research,151,breaking aliens have been confirmed in area according to top secret government documents leaked by an insider shocking footage reveals everything,breaking aliens confirmed area according top secret government documents leaked insider shocking footage reveals everything,21,145,5.9523809523809526,1,0,0,0.0,6
"URGENT: Drinking diluted bleach cures COVID-19 INSTANTLY, anonymous doctor reveals SECRET treatment that BIG PHARMA doesn't want you to know! SHARE NOW!",0,Financial Times,152,urgent drinking diluted bleach cures covid instantly anonymous doctor reveals secret treatment that big pharma doesnt want you to know share now,urgent drinking diluted bleach cures covid instantly anonymous doctor reveals secret treatment big pharma doesnt want know share,22,144,5.590909090909091,1,0,0,0.0,4
5G towers are PROVEN to cause coronavirus outbreaks worldwide! Whistleblower CONFIRMS the connection - this is what THEY don't want you to see!,0,NASA Official,143,g towers are proven to cause coronavirus outbreaks worldwide whistleblower confirms the connection this is what they dont want you to see,towers proven cause coronavirus outbreaks worldwide whistleblower confirms connection dont want see,22,137,5.2727272727272725,1,0,0,0.0,9
MOON LANDING was COMPLETELY FAKE and filmed in a Hollywood studio! New EVIDENCE exposes the 50-year conspiracy - NASA has been LYING to everyone!,0,Oxford Study,145,moon landing was completely fake and filmed in a hollywood studio new evidence exposes the year conspiracy nasa has been lying to everyone,moon landing completely fake filmed hollywood studio new evidence exposes year conspiracy nasa lying everyone,23,138,5.043478260869565,1,0,0,0.0,8
VACCINES contain MICROCHIPS that allow government to TRACK your movements! Documents PROVE secret surveillance program - WAKE UP people!,0,Energy Report,136,vaccines contain microchips that allow government to track your movements documents prove secret surveillance program wake up people,vaccines contain microchips allow government track movements documents prove secret surveillance program wake people,18,132,6.388888888888889,1,0,0,0.0,4
Eating just ONE BANANA daily prevents ALL forms of cancer! DOCTORS are HIDING this truth because they profit from chemotherapy!,0,Education Ministry,127,eating just one banana daily prevents all forms of cancer doctors are hiding this truth because they profit from chemotherapy,eating one banana daily prevents forms cancer doctors hiding truth profit chemotherapy,20,125,5.3,1,0,0,0.0,8
The Earth is actually FLAT and NASA has spent BILLIONS lying to us! Satellite images are COMPUTER GENERATED - the truth is being SUPPRESSED!,0,Cambridge Archaeology,140,the earth is actually flat and nasa has spent billions lying to us satellite images are computer generated the truth is being suppressed,earth actually flat nasa spent billions lying satellite images computer generated truth suppressed,23,136,4.956521739130435,1,0,0,0.0,9
LOSE 10kg in JUST 3 DAYS with this ONE SIMPLE TRICK! Doctors HATE this method because it makes them UNNECESSARY! Click for SECRET!,0,Medical Journal,130,lose kg in just days with this one simple trick doctors hate this method because it makes them unnecessary click for secret,lose days one simple trick doctors hate method makes unnecessary click secret,22,123,4.636363636363637,1,0,0,0.0,9
GOVERNMENT installing MIND CONTROL devices in new smartphones! Update contains secret software that reads your thoughts - PROOF inside!,0,WHO Report,135,government installing mind control devices in new smartphones update contains secret software that reads your thoughts proof inside,government installing mind control devices new smartphones update contains secret software reads thoughts proof inside,18,131,6.333333333333333,1,0,0,0.0,3
SECRET cure for aging discovered! 150-year-old scientist reveals how to LIVE FOREVER - pharmaceutical companies trying to SUPPRESS the information!,0,Tech Consortium,147,secret cure for aging discovered yearold scientist reveals how to live forever pharmaceutical companies trying to suppress the information,secret cure aging discovered yearold scientist reveals live forever pharmaceutical companies trying suppress information,19,138,6.315789473684211,1,0,0,0.0,5
CHEMTRAILS from airplanes are POISONING our atmosphere! Government ADMITS to weather modification program that's MAKING people sick!,0,Climate Science,132,chemtrails from airplanes are poisoning our atmosphere government admits to weather modification program thats making people sick,chemtrails airplanes poisoning atmosphere government admits weather modification program thats making people sick,17,129,6.647058823529412,1,0,0,0.0,4
NEW WORLD ORDER plans complete takeover by 2025! Secret documents reveal plot to ELIMINATE cash and implement DIGITAL SLAVERY system!,0,Federal Reserve,133,new world order plans complete takeover by secret documents reveal plot to eliminate cash and implement digital slavery system,new world order plans complete takeover secret documents reveal plot eliminate cash implement digital slavery system,19,126,5.684210526315789,1,0,0,0.0,3
TIME TRAVEL technology EXISTS and is being used by the elite! Whistleblower reveals how billionaires are manipulating historical events!,0,MIT Research,136,time travel technology exists and is being used by the elite whistleblower reveals how billionaires are manipulating historical events,time travel technology exists used elite whistleblower reveals billionaires manipulating historical events,19,134,6.105263157894737,1,0,0,0.0,7
HAARP weather weapon CAUSED hurricane that devastated coastal city! Government using climate as a WEAPON against its own citizens!,0,Oceanography Study,130,haarp weather weapon caused hurricane that devastated coastal city government using climate as a weapon against its own citizens,haarp weather weapon caused hurricane devastated coastal city government using climate weapon citizens,19,128,5.7894736842105265,1,0,0,0.0,6
ALL mainstream media is CONTROLLED by 3 corporations! Every news story is MANUFACTURED to manipulate public opinion - WAKE UP!,0,Agriculture Dept,126,all mainstream media is controlled by corporations every news story is manufactured to manipulate public opinion wake up,mainstream media controlled corporations every news story manufactured manipulate public opinion wake,18,120,5.722222222222222,1,0,0,0.0,6
CANCER is actually a FUNGUS that can be cured with baking soda! $300 billion medical industry HIDING simple cure to protect profits!,0,UN Report,132,cancer is actually a fungus that can be cured with baking soda billion medical industry hiding simple cure to protect profits,cancer actually fungus cured baking soda billion medical industry hiding simple cure protect profits,21,125,5.0,1,0,0,0.0,7
